caja,year,cantidad,masaaportes,masamontoing,montoprom
Ande,2020,4155,4885476798.8,48854767988.0,10319097.928543221
Ande,2021,4920,5733879695.400001,57338796954.0,9167257.152434938
Ande,2022,4887,6125078099.2,61250780992.0,10252743.287593909
Ande,2023,4970,6603317931.6,66033179316.0,10376684.441766534
Ande,2024,4867,6782022689.700001,67820226897.0,11104279.205486836
Bancaria,2020,12250,31187334580.079994,111383337786.0,11792579.513713643
Bancaria,2021,12493,33643867386.640003,120156669238.0,12734759.45729834
Bancaria,2022,12522,35690057528.72,127464491174.0,13609137.340991609
Bancaria,2023,12928,39049103176.16,139461082772.0,14308778.774908295
Bancaria,2024,12612,40544432593.28001,144801544976.0,14893249.709436664
