edad,edad_quinquenal,ano,sexo,tipo_beneficio,estado,caja,suma_aportes,suma_salarios,cantidad,sml
15,15 a 19,2020,Hombres,Activos,Activos,IPS,286715.5,2293724.0,3,2192839
15,15 a 19,2020,Mujeres,Activos,Activos,IPS,44278.5,354228.0,1,2192839
16,15 a 19,2020,Hombres,Activos,Activos,IPS,2656714.75,21253718.0,21,2192839
16,15 a 19,2020,Mujeres,Activos,Activos,IPS,433773.5,3470188.0,5,2192839
17,15 a 19,2020,Hombres,Activos,Activos,IPS,10477391.75,83819134.0,70,2192839
17,15 a 19,2020,Mujeres,Activos,Activos,IPS,2770568.0,22164544.0,19,2192839
18,15 a 19,2020,Hombres,Activos,Activos,IPS,627419679.875,5019357439.0,2639,2192839
18,15 a 19,2020,Mujeres,Activos,Activos,IPS,224642522.75,1797140182.0,979,2192839
19,15 a 19,2020,Hombres,Activos,Activos,IPS,1443696578.875,11549572631.0,5557,2192839
19,15 a 19,2020,Mujeres,Activos,Activos,IPS,581865009.375,4654920075.0,2251,2192839
20,20 a 24,2020,Hombres,Activos,Activos,IPS,2219021854.875,17752174839.0,7959,2192839
20,20 a 24,2020,Mujeres,Activos,Activos,IPS,1115708340.375,8925666724.0,4023,2192839
21,20 a 24,2020,Hombres,Activos,Activos,IPS,3000907896.625,24007263172.0,10269,2192839
21,20 a 24,2020,Mujeres,Activos,Activos,IPS,1579327410.25,12634619282.0,5494,2192839
22,20 a 24,2020,Hombres,Activos,Activos,IPS,3498766228.375,27990129827.0,11510,2192839
22,20 a 24,2020,Mujeres,Activos,Activos,IPS,1975596843.875,15804774752.0,6578,2192839
23,20 a 24,2020,Hombres,Activos,Activos,IPS,4169935170.875,33359481365.0,13178,2192839
23,20 a 24,2020,Mujeres,Activos,Activos,IPS,2406914412.75,19255315301.0,7654,2192839
24,20 a 24,2020,Hombres,Activos,Activos,IPS,4683296140.5,37466369119.0,14076,2192839
24,20 a 24,2020,Mujeres,Activos,Activos,IPS,2857451654.25,22859613234.0,8697,2192839
25,25 a 29,2020,Hombres,Activos,Activos,IPS,4958490262.0,39667922098.0,14109,2192839
25,25 a 29,2020,Mujeres,Activos,Activos,IPS,3019351896.0,24154815165.0,8787,2192839
26,25 a 29,2020,Hombres,Activos,Activos,IPS,5367809605.125,42942476847.0,14519,2192839
26,25 a 29,2020,Mujeres,Activos,Activos,IPS,3322288247.25,26578305974.0,8897,2192839
27,25 a 29,2020,Hombres,Activos,Activos,IPS,5652081905.875,45216655254.0,14637,2192839
27,25 a 29,2020,Mujeres,Activos,Activos,IPS,3506560773.25,28052486196.0,9126,2192839
28,25 a 29,2020,Hombres,Activos,Activos,IPS,5850205293.5,46801642345.0,14703,2192839
28,25 a 29,2020,Mujeres,Activos,Activos,IPS,3626636730.5,29013093846.0,9034,2192839
29,25 a 29,2020,Hombres,Activos,Activos,IPS,6154495485.0,49235963891.0,14661,2192839
29,25 a 29,2020,Mujeres,Activos,Activos,IPS,3745556859.25,29964454878.0,9083,2192839
30,30 a 34,2020,Hombres,Activos,Activos,IPS,6049491524.625,48395932187.0,13994,2192839
30,30 a 34,2020,Mujeres,Activos,Activos,IPS,3600184023.625,28801472193.0,8413,2192839
31,30 a 34,2020,Hombres,Activos,Activos,IPS,6164037896.875,49312303183.0,13642,2192839
31,30 a 34,2020,Mujeres,Activos,Activos,IPS,3503539123.75,28028312990.0,7977,2192839
32,30 a 34,2020,Hombres,Activos,Activos,IPS,5977884985.375,47823079879.0,12812,2192839
32,30 a 34,2020,Mujeres,Activos,Activos,IPS,3389035698.5,27112285593.0,7338,2192839
33,30 a 34,2020,Hombres,Activos,Activos,IPS,5782597689.625,46260781510.0,12134,2192839
33,30 a 34,2020,Mujeres,Activos,Activos,IPS,3220336831.5,25762694663.0,6845,2192839
34,30 a 34,2020,Hombres,Activos,Activos,IPS,5749580366.375,45996642936.0,11651,2192839
34,30 a 34,2020,Mujeres,Activos,Activos,IPS,3181302389.25,25450419113.0,6615,2192839
35,35 a 39,2020,Hombres,Activos,Activos,IPS,5788310964.75,46306487701.0,11350,2192839
35,35 a 39,2020,Mujeres,Activos,Activos,IPS,3024158454.0,24193267625.0,6167,2192839
36,35 a 39,2020,Hombres,Activos,Activos,IPS,5826753600.5,46614028805.0,11323,2192839
36,35 a 39,2020,Mujeres,Activos,Activos,IPS,2982988840.375,23863910724.0,5999,2192839
37,35 a 39,2020,Hombres,Activos,Activos,IPS,5603418412.625,44827347326.0,10829,2192839
37,35 a 39,2020,Mujeres,Activos,Activos,IPS,2741604689.25,21932837526.0,5481,2192839
38,35 a 39,2020,Hombres,Activos,Activos,IPS,5497612630.25,43980901046.0,10487,2192839
38,35 a 39,2020,Mujeres,Activos,Activos,IPS,2851432788.5,22811462306.0,5466,2192839
39,35 a 39,2020,Hombres,Activos,Activos,IPS,5117729798.5,40941838377.0,9386,2192839
39,35 a 39,2020,Mujeres,Activos,Activos,IPS,2486212908.0,19889703257.0,4678,2192839
40,40 a 44,2020,Hombres,Activos,Activos,IPS,4805814504.25,38446516034.0,9077,2192839
40,40 a 44,2020,Mujeres,Activos,Activos,IPS,2366614833.875,18932918668.0,4484,2192839
41,40 a 44,2020,Hombres,Activos,Activos,IPS,4384089354.25,35072714827.0,8163,2192839
41,40 a 44,2020,Mujeres,Activos,Activos,IPS,1991695216.75,15933561738.0,3788,2192839
42,40 a 44,2020,Hombres,Activos,Activos,IPS,4055119059.25,32440952475.0,7048,2192839
42,40 a 44,2020,Mujeres,Activos,Activos,IPS,1793807331.75,14350458661.0,3496,2192839
43,40 a 44,2020,Hombres,Activos,Activos,IPS,3642622005.5,29140976049.0,6655,2192839
43,40 a 44,2020,Mujeres,Activos,Activos,IPS,1585375728.5,12683005825.0,3085,2192839
44,40 a 44,2020,Hombres,Activos,Activos,IPS,3459215122.625,27673720989.0,6055,2192839
44,40 a 44,2020,Mujeres,Activos,Activos,IPS,1506777023.75,12054216188.0,2842,2192839
45,45 a 49,2020,Hombres,Activos,Activos,IPS,3128347434.25,25026779473.0,5656,2192839
45,45 a 49,2020,Mujeres,Activos,Activos,IPS,1376753322.375,11014026585.0,2616,2192839
46,45 a 49,2020,Hombres,Activos,Activos,IPS,2873761290.0,22990090324.0,5276,2192839
46,45 a 49,2020,Mujeres,Activos,Activos,IPS,1245786738.625,9966293910.0,2455,2192839
47,45 a 49,2020,Hombres,Activos,Activos,IPS,2644044180.375,21152353436.0,4849,2192839
47,45 a 49,2020,Mujeres,Activos,Activos,IPS,1120151111.625,8961208896.0,2186,2192839
48,45 a 49,2020,Hombres,Activos,Activos,IPS,2632990982.625,21063927865.0,4794,2192839
48,45 a 49,2020,Mujeres,Activos,Activos,IPS,1082897810.25,8663182483.0,2120,2192839
49,45 a 49,2020,Hombres,Activos,Activos,IPS,2555659412.125,20445275300.0,4527,2192839
49,45 a 49,2020,Mujeres,Activos,Activos,IPS,1034426225.625,8275409805.0,2077,2192839
50,50 a 54,2020,Hombres,Activos,Activos,IPS,2507205807.5,20057646460.0,4461,2192839
50,50 a 54,2020,Mujeres,Activos,Activos,IPS,954774150.75,7638193207.0,1955,2192839
51,50 a 54,2020,Hombres,Activos,Activos,IPS,2341030283.75,18728242280.0,4154,2192839
51,50 a 54,2020,Mujeres,Activos,Activos,IPS,872590497.75,6980723983.0,1780,2192839
52,50 a 54,2020,Hombres,Activos,Activos,IPS,2201327602.625,17610620827.0,3983,2192839
52,50 a 54,2020,Mujeres,Activos,Activos,IPS,860071032.75,6880568265.0,1751,2192839
53,50 a 54,2020,Hombres,Activos,Activos,IPS,1990864868.0,15926918959.0,3523,2192839
53,50 a 54,2020,Mujeres,Activos,Activos,IPS,753435311.875,6027482495.0,1547,2192839
54,50 a 54,2020,Hombres,Activos,Activos,IPS,1914981295.375,15319850374.0,3509,2192839
54,50 a 54,2020,Mujeres,Activos,Activos,IPS,747946538.5,5983572300.0,1528,2192839
55,55 a 59,2020,Hombres,Activos,Activos,IPS,1833832903.875,14670663232.0,3318,2192839
55,55 a 59,2020,Mujeres,Activos,Activos,IPS,680932522.5,5447460181.0,1424,2192839
56,55 a 59,2020,Hombres,Activos,Activos,IPS,1611602536.75,12892820287.0,3042,2192839
56,55 a 59,2020,Mujeres,Activos,Activos,IPS,623480408.125,4987843265.0,1280,2192839
57,55 a 59,2020,Hombres,Activos,Activos,IPS,1559619639.0,12476957113.0,2869,2192839
57,55 a 59,2020,Mujeres,Activos,Activos,IPS,563851619.0,4510812949.0,1233,2192839
58,55 a 59,2020,Hombres,Activos,Activos,IPS,1366139215.0,10929113718.0,2570,2192839
58,55 a 59,2020,Mujeres,Activos,Activos,IPS,485698021.125,3885584168.0,1072,2192839
59,55 a 59,2020,Hombres,Activos,Activos,IPS,1319788834.375,10558310675.0,2325,2192839
59,55 a 59,2020,Mujeres,Activos,Activos,IPS,481518070.875,3852144564.0,1089,2192839
60,60 a 64,2020,Hombres,Activos,Activos,IPS,925867345.75,7406938765.0,2013,2192839
60,60 a 64,2020,Mujeres,Activos,Activos,IPS,345273270.125,2762186161.0,836,2192839
61,60 a 64,2020,Hombres,Activos,Activos,IPS,744061239.25,5952489913.0,1594,2192839
61,60 a 64,2020,Mujeres,Activos,Activos,IPS,275035214.875,2200281719.0,677,2192839
62,60 a 64,2020,Hombres,Activos,Activos,IPS,627011619.875,5016092964.0,1382,2192839
62,60 a 64,2020,Mujeres,Activos,Activos,IPS,211688803.0,1693510424.0,557,2192839
63,60 a 64,2020,Hombres,Activos,Activos,IPS,580735587.625,4645884702.0,1321,2192839
63,60 a 64,2020,Mujeres,Activos,Activos,IPS,187153868.375,1497230946.0,515,2192839
64,60 a 64,2020,Hombres,Activos,Activos,IPS,548511604.625,4388092840.0,1207,2192839
64,60 a 64,2020,Mujeres,Activos,Activos,IPS,190032074.625,1520256598.0,442,2192839
65,65 a 69,2020,Hombres,Activos,Activos,IPS,413318685.25,3306549482.0,905,2192839
