edad,gq,year,sexo,tipobenr,estado,caja,mes,masaaportes,masamontoing,cantidad,sml,montoprom
23,20 a 24,2020,Mujeres,Activos,Activos,Ande,12,690807.3,6908073.0,1,2192839.0,6908073.0
24,20 a 24,2020,Hombres,Activos,Activos,Ande,12,547289.6,5472896.0,1,2192839.0,5472896.0
24,20 a 24,2020,Mujeres,Activos,Activos,Ande,12,1049882.4,10498824.0,2,2192839.0,5249412.0
25,25 a 29,2020,Hombres,Activos,Activos,Ande,12,3983490.0,39834900.0,7,2192839.0,5690700.0
25,25 a 29,2020,Mujeres,Activos,Activos,Ande,12,709924.5,7099245.0,1,2192839.0,7099245.0
26,25 a 29,2020,Hombres,Activos,Activos,Ande,12,10738636.4,107386364.0,13,2192839.0,8260489.538461538
26,25 a 29,2020,Mujeres,Activos,Activos,Ande,12,4181438.6000000006,41814386.0,6,2192839.0,6969064.333333333
27,25 a 29,2020,Hombres,Activos,Activos,Ande,12,22981959.500000004,229819595.0,29,2192839.0,7924813.620689655
27,25 a 29,2020,Mujeres,Activos,Activos,Ande,12,6521249.1,65212491.0,8,2192839.0,8151561.375
28,25 a 29,2020,Hombres,Activos,Activos,Ande,12,29452543.4,294525434.0,33,2192839.0,8925013.151515152
28,25 a 29,2020,Mujeres,Activos,Activos,Ande,12,6755637.800000001,67556378.0,10,2192839.0,6755637.8
29,25 a 29,2020,Hombres,Activos,Activos,Ande,12,54413570.30000001,544135703.0,60,2192839.0,9068928.383333333
29,25 a 29,2020,Mujeres,Activos,Activos,Ande,12,13462424.200000001,134624242.0,18,2192839.0,7479124.555555556
30,30 a 34,2020,Hombres,Activos,Activos,Ande,12,52996713.69999999,529967137.0,61,2192839.0,8687985.852459017
30,30 a 34,2020,Mujeres,Activos,Activos,Ande,12,15756119.500000002,157561195.0,22,2192839.0,7161872.5
31,30 a 34,2020,Hombres,Activos,Activos,Ande,12,50666723.599999994,506667236.0,57,2192839.0,8888898.877192982
31,30 a 34,2020,Mujeres,Activos,Activos,Ande,12,16541676.600000003,165416766.0,23,2192839.0,7192033.304347826
32,30 a 34,2020,Hombres,Activos,Activos,Ande,12,75023806.60000002,750238066.0,82,2192839.0,9149244.707317073
32,30 a 34,2020,Mujeres,Activos,Activos,Ande,12,15818827.700000001,158188277.0,23,2192839.0,6877751.173913044
33,30 a 34,2020,Hombres,Activos,Activos,Ande,12,58521951.30000001,585219513.0,63,2192839.0,9289198.61904762
33,30 a 34,2020,Mujeres,Activos,Activos,Ande,12,21532140.800000004,215321408.0,28,2192839.0,7690050.285714285
34,30 a 34,2020,Hombres,Activos,Activos,Ande,12,77722400.50000003,777224005.0,80,2192839.0,9715300.0625
34,30 a 34,2020,Mujeres,Activos,Activos,Ande,12,24653833.5,246538335.0,31,2192839.0,7952849.516129033
35,35 a 39,2020,Hombres,Activos,Activos,Ande,12,70013147.99999999,700131480.0,75,2192839.0,9335086.4
35,35 a 39,2020,Mujeres,Activos,Activos,Ande,12,25213469.0,252134690.0,31,2192839.0,8133377.096774193
36,35 a 39,2020,Hombres,Activos,Activos,Ande,12,105336521.89999999,1053365219.0,107,2192839.0,9844534.757009346
36,35 a 39,2020,Mujeres,Activos,Activos,Ande,12,23135970.6,231359706.0,28,2192839.0,8262846.642857143
37,35 a 39,2020,Hombres,Activos,Activos,Ande,12,111313264.30000004,1113132643.0,112,2192839.0,9938684.3125
37,35 a 39,2020,Mujeres,Activos,Activos,Ande,12,26946142.8,269461428.0,29,2192839.0,9291773.379310345
38,35 a 39,2020,Hombres,Activos,Activos,Ande,12,104993555.7,1049935557.0,103,2192839.0,10193549.09708738
38,35 a 39,2020,Mujeres,Activos,Activos,Ande,12,26089927.299999997,260899273.0,32,2192839.0,8153102.28125
39,35 a 39,2020,Hombres,Activos,Activos,Ande,12,98620960.80000004,986209608.0,89,2192839.0,11081006.831460673
39,35 a 39,2020,Mujeres,Activos,Activos,Ande,12,28126093.69999999,281260937.0,33,2192839.0,8523058.696969697
40,40 a 44,2020,Hombres,Activos,Activos,Ande,12,115175639.30000004,1151756393.0,107,2192839.0,10764078.439252336
40,40 a 44,2020,Mujeres,Activos,Activos,Ande,12,35794910.9,357949109.0,36,2192839.0,9943030.805555556
41,40 a 44,2020,Hombres,Activos,Activos,Ande,12,135080918.59999993,1350809186.0,116,2192839.0,11644906.77586207
41,40 a 44,2020,Mujeres,Activos,Activos,Ande,12,26012990.800000004,260129908.0,27,2192839.0,9634441.037037037
42,40 a 44,2020,Hombres,Activos,Activos,Ande,12,101414253.30000001,1014142533.0,94,2192839.0,10788750.351063829
42,40 a 44,2020,Mujeres,Activos,Activos,Ande,12,30613083.499999996,306130835.0,33,2192839.0,9276691.969696969
43,40 a 44,2020,Hombres,Activos,Activos,Ande,12,133073922.99999999,1330739230.0,109,2192839.0,12208616.788990825
43,40 a 44,2020,Mujeres,Activos,Activos,Ande,12,33678206.900000006,336782069.0,30,2192839.0,11226068.966666667
44,40 a 44,2020,Hombres,Activos,Activos,Ande,12,100070939.70000003,1000709397.0,88,2192839.0,11371697.693181818
44,40 a 44,2020,Mujeres,Activos,Activos,Ande,12,29755233.700000007,297552337.0,25,2192839.0,11902093.48
45,45 a 49,2020,Hombres,Activos,Activos,Ande,12,105673926.59999998,1056739266.0,88,2192839.0,12008400.75
45,45 a 49,2020,Mujeres,Activos,Activos,Ande,12,25568777.3,255687773.0,29,2192839.0,8816819.75862069
46,45 a 49,2020,Hombres,Activos,Activos,Ande,12,126116565.09999998,1261165651.0,110,2192839.0,11465142.281818181
46,45 a 49,2020,Mujeres,Activos,Activos,Ande,12,34450341.00000001,344503410.0,29,2192839.0,11879427.931034483
47,45 a 49,2020,Hombres,Activos,Activos,Ande,12,124064598.99999999,1240645990.0,99,2192839.0,12531777.676767677
47,45 a 49,2020,Mujeres,Activos,Activos,Ande,12,24252365.3,242523653.0,22,2192839.0,11023802.409090908
48,45 a 49,2020,Hombres,Activos,Activos,Ande,12,99385947.1,993859471.0,83,2192839.0,11974210.493975904
48,45 a 49,2020,Mujeres,Activos,Activos,Ande,12,33423042.799999997,334230428.0,28,2192839.0,11936801.0
49,45 a 49,2020,Hombres,Activos,Activos,Ande,12,99926020.30000001,999260203.0,81,2192839.0,12336545.716049382
49,45 a 49,2020,Mujeres,Activos,Activos,Ande,12,31833402.000000004,318334020.0,23,2192839.0,13840609.56521739
50,50 a 54,2020,Hombres,Activos,Activos,Ande,12,142954056.49999997,1429540565.0,105,2192839.0,13614672.047619049
50,50 a 54,2020,Mujeres,Activos,Activos,Ande,12,24171470.599999998,241714706.0,23,2192839.0,10509335.043478262
51,50 a 54,2020,Hombres,Activos,Activos,Ande,12,148060185.7,1480601857.0,112,2192839.0,13219659.4375
51,50 a 54,2020,Mujeres,Activos,Activos,Ande,12,32484947.499999993,324849475.0,28,2192839.0,11601766.964285715
52,50 a 54,2020,Hombres,Activos,Activos,Ande,12,140814505.6,1408145056.0,98,2192839.0,14368827.102040816
52,50 a 54,2020,Mujeres,Activos,Activos,Ande,12,35370699.60000001,353706996.0,27,2192839.0,13100259.111111112
