caja,year,tipobenr,cantidad,masamontoing,montoprom
Ande,2020,Invalidez,40,155310592.0,3817031.524691358
Ande,2020,Otros,28,228398937.0,7727695.885964911
Ande,2020,Pensión/Sobrevivencia,585,1691692563.0,2340746.8636345495
Ande,2020,Vejez,1563,12400610154.0,6039654.613043161
Ande,2021,Invalidez,40,167569877.0,4140943.8365384615
Ande,2021,Otros,26,222329856.0,8121641.023148147
Ande,2021,Pensión/Sobrevivencia,596,1905563093.0,2659165.0534234643
Ande,2021,Vejez,1616,13430615576.0,6354850.218229285
Ande,2022,Invalidez,48,230351459.0,4660990.8984375
Ande,2022,Otros,25,234586798.0,9015819.946078433
Ande,2022,Pensión/Sobrevivencia,689,2481028410.0,3010451.0796043035
Ande,2022,Vejez,1696,15295509647.0,6980845.051710505
Ande,2023,Invalidez,48,245413131.0,4932031.163978495
Ande,2023,Otros,24,248752543.0,10052996.09375
Ande,2023,Pensión/Sobrevivencia,689,2761151914.0,3327480.8714961275
Ande,2023,Vejez,1795,17818387980.0,7706031.134024325
Bancaria,2020,Invalidez,62,432950921.3333333,6502330.847685184
Bancaria,2020,Otros,437,3407875295.0833335,6935605.701223779
Bancaria,2020,Pensión/Sobrevivencia,712,3468286058.0833335,4649290.262305445
Bancaria,2020,Vejez,1667,16069565907.666666,8213428.4822572265
Bancaria,2021,Invalidez,62,433131032.0833333,6445086.5346428575
Bancaria,2021,Otros,433,3415077435.0,6988158.262080242
Bancaria,2021,Pensión/Sobrevivencia,727,3635488936.4166665,4831753.092178094
Bancaria,2021,Vejez,1768,17995355712.25,8562721.121745087
Bancaria,2022,Invalidez,65,342428900.0833333,4969150.3642178355
Bancaria,2022,Otros,453,3279626807.6666665,6427212.121817181
Bancaria,2022,Pensión/Sobrevivencia,676,2936154921.3333335,4042694.6689119213
Bancaria,2022,Vejez,1546,12026624161.666666,7252240.171495609
Bancaria,2023,Invalidez,60,516100180.0,8043070.06969697
Bancaria,2023,Otros,415,3845130745.0,8374305.430003672
Bancaria,2023,Pensión/Sobrevivencia,748,4476412612.25,5565782.873549448
Bancaria,2023,Vejez,1881,23812403526.583332,10392322.883525975
