caja,year,tipobenr,cantidad
Ande,2020,Activos,4155
Ande,2020,Invalidez,40
Ande,2020,Otros,28
Ande,2020,Pensión/Sobrevivencia,585
Ande,2020,Vejez,1563
Ande,2021,Activos,4920
Ande,2021,Invalidez,40
Ande,2021,Otros,26
Ande,2021,Pensión/Sobrevivencia,596
Ande,2021,Vejez,1616
Ande,2022,Activos,4887
Ande,2022,Invalidez,48
Ande,2022,Otros,25
Ande,2022,Pensión/Sobrevivencia,689
Ande,2022,Vejez,1696
Ande,2023,Activos,4970
Ande,2023,Invalidez,48
Ande,2023,Otros,24
Ande,2023,Pensión/Sobrevivencia,689
Ande,2023,Vejez,1795
Ande,2024,Activos,4867
Bancaria,2020,Activos,12250
Bancaria,2020,Invalidez,62
Bancaria,2020,Otros,437
Bancaria,2020,Pensión/Sobrevivencia,712
Bancaria,2020,Vejez,1667
Bancaria,2021,Activos,12493
Bancaria,2021,Invalidez,62
Bancaria,2021,Otros,433
Bancaria,2021,Pensión/Sobrevivencia,727
Bancaria,2021,Vejez,1768
Bancaria,2022,Activos,12522
Bancaria,2022,Invalidez,65
Bancaria,2022,Otros,453
Bancaria,2022,Pensión/Sobrevivencia,676
Bancaria,2022,Vejez,1546
Bancaria,2023,Activos,12928
Bancaria,2023,Invalidez,60
Bancaria,2023,Otros,415
Bancaria,2023,Pensión/Sobrevivencia,748
Bancaria,2023,Vejez,1881
Bancaria,2024,Activos,12612
